,station_id,weekend,rain,temp_class,North Hollywood,Port of LA,DTLA,total_trip,stat_name,lat,long,walk_score,transit_score,bike_score,dregioncenter,trip_log
110,3023,1,0,2.0,0,0,1,27,1st & Judge John Aiso,34.050911,-118.240967,94,100.0,80,0.0273,1.4313637641589874
111,3024,0,0,0.0,0,0,1,49,Hope & 1st,34.05772,-118.24897,93,100.0,77,0.0192,1.6901960800285136
112,3024,0,0,1.0,0,0,1,219,Hope & 1st,34.05772,-118.24897,93,100.0,77,0.0192,2.3404441148401185
113,3024,0,0,2.0,0,0,1,69,Hope & 1st,34.05772,-118.24897,93,100.0,77,0.0192,1.8388490907372552
114,3024,0,1,0.0,0,0,1,2,Hope & 1st,34.05772,-118.24897,93,100.0,77,0.0192,0.3010299956639812
115,3024,0,1,1.0,0,0,1,2,Hope & 1st,34.05772,-118.24897,93,100.0,77,0.0192,0.3010299956639812
116,3024,1,0,0.0,0,0,1,5,Hope & 1st,34.05772,-118.24897,93,100.0,77,0.0192,0.6989700043360189
117,3024,1,0,1.0,0,0,1,26,Hope & 1st,34.05772,-118.24897,93,100.0,77,0.0192,1.414973347970818
118,3024,1,0,2.0,0,0,1,9,Hope & 1st,34.05772,-118.24897,93,100.0,77,0.0192,0.9542425094393249
119,3025,0,0,0.0,0,0,1,23,Grand & Washington,34.03286,-118.268082,76,100.0,85,0.022,1.3617278360175928
120,3025,0,0,1.0,0,0,1,86,Grand & Washington,34.03286,-118.268082,76,100.0,85,0.022,1.9344984512435677
121,3025,0,0,2.0,0,0,1,18,Grand & Washington,34.03286,-118.268082,76,100.0,85,0.022,1.255272505103306
122,3025,0,1,0.0,0,0,1,1,Grand & Washington,34.03286,-118.268082,76,100.0,85,0.022,0.0
123,3025,1,0,0.0,0,0,1,10,Grand & Washington,34.03286,-118.268082,76,100.0,85,0.022,1.0
124,3025,1,0,1.0,0,0,1,21,Grand & Washington,34.03286,-118.268082,76,100.0,85,0.022,1.3222192947339193
125,3025,1,0,2.0,0,0,1,7,Grand & Washington,34.03286,-118.268082,76,100.0,85,0.022,0.8450980400142568
126,3026,0,0,0.0,0,0,1,102,Figueroa & Cesar Chavez,34.063179,-118.24588,85,99.0,51,0.0236,2.0086001717619175
